NameID,AgeinMonths,AgeinDays,image_name,frame_id,Gaze_x,Gaze_y,Hit,FalseAlarm,Face_x,Face_y,Face_r,FaceLooking,Distance,Centering,Saliency_face,Pitch,Yaw,Roll,GazeDirection,InfantPosture,MotherPosture,Saliency_gaze,Saliency_image,HandinView,HandLooking
A,10,312,A100_1_id0003.jpg,75,580,184,1,0,521.5993000064201,85.05587371227242,109.61621959013291,1,0.49310000000000004,189.564848031894,0.5357131361961365,-16.55848027928079,-4.583662361046586,-2.1199438419840457,Directed,Sitting,Down,0.5719901919364929,0.9909856915473938,NA,NA
A,10,312,A100_1_id0007.jpg,175,446,310,1,0,596.4158199733862,103.50835720169776,112.96754143930332,0,0.4725,203.155384525622,0.5822553634643555,-75.34395005970325,-45.89391938997894,-34.49205926687556,Averted,Sitting,Down,0.6402581930160522,0.9876940250396729,1,1
A,10,312,A100_1_id0009.jpg,225,567,208,1,0,591.9228288469008,144.40725419286915,105.25431332825568,1,0.522,168.22680350190103,0.4549461603164673,-59.07194867798787,-42.51346839870708,-19.1367903573695,Averted,Sitting,Down,0.44953015446662903,0.9978275895118712,NA,NA
A,10,312,A100_1_id0015.jpg,375,574,76,1,0,577.2968632013174,113.31508450103983,101.70310729126538,1,0.5292,184.43655368102105,0.6348748803138733,-56.379047040873004,-41.08107391088003,-17.933578987594768,Averted,Sitting,Down,0.2623971700668335,0.9890114068984984,NA,NA
A,10,312,A100_1_id0023.jpg,575,596,176,1,0,549.3234312078514,173.73551558985918,81.17301952595857,1,0.6648,118.62794389678996,0.5808050036430359,-18.678424121264836,-5.271211715203573,5.443099053742821,Directed,Sitting,Down,0.43345269560813904,0.9940329194068908,NA,NA
A,10,312,A100_1_id0029.jpg,725,496,327,1,0,511.69182250044696,131.4815469540804,72.96979064679053,0,0.7661,142.097619429864,0.6232561469078064,-53.68614540375813,-28.934368654106574,-20.51188906568347,Averted,Sitting,Down,0.7432126402854919,0.992298662662506,1,1
A,10,312,A100_1_id0031.jpg,775,572,316,1,0,570.991718417694,105.25948532539364,78.64156443274285,0,0.7074,188.19917639527304,0.4188946187496186,-52.081863577391836,-32.02834074781302,-13.06343772898277,Averted,Sitting,Down,0.7437353134155273,0.9952274560928344,1,1
A,10,312,A100_1_id0045.jpg,1125,548,180,1,0,562.1408329007843,222.61804948743227,70.87098264898725,1,0.7066,94.82703023932568,0.5259857177734375,-70.58840036011742,-69.09871009277728,-92.64727547265412,Averted,Sitting,Down,0.3005567491054535,0.998175084590912,NA,NA
A,10,312,A100_1_id0047.jpg,1175,466,302,1,0,537.0749999999995,174.8500000000002,60.022396861504994,0,0.8126,110.955297868105,0.5149781703948975,-83.3653591915348,-75.97420363434716,-57.3530752925954,Averted,Sitting,Down,0.37235113978385925,0.9983635544776917,1,1
A,10,312,A100_1_id0049.jpg,1225,548,174,1,0,572.5102357870173,186.07023387780976,52.812469408074136,1,0.9052,124.90936460768302,0.6211680769920349,27.731157284331847,-61.19189251997192,37.81521447863434,Averted,Sitting,Down,0.6211680769920349,0.995460331439972,NA,NA
A,10,312,A100_1_id0051.jpg,1275,562,155,1,0,569.6279031912593,171.63199847041494,56.951090683806896,1,0.84,133.076762642417,0.2934957444667816,25.66850922186088,-73.45318933577154,51.27972266420868,Averted,Sitting,Down,0.2900512218475342,0.9810072183609008,NA,NA
A,10,312,A100_1_id0075.jpg,1876,570,131,1,0,663.4749999999999,135.64999999999972,151.5325728185197,1,0.3484,227.404921065926,0.5881608128547668,-7.219268218648373,-79.87031664123676,27.100903709687937,Averted,Sitting,Down,0.4337659776210785,0.9941125512123108,NA,NA
A,10,312,A100_1_id0083.jpg,2076,518,262,1,0,551.6250000000001,215.35000000000016,92.68956589066548,1,0.557,90.09308033916923,0.575358510017395,-54.774765214506694,-50.42028597151245,-19.48056503444799,Averted,Sitting,Down,0.5804540514945984,0.998444437980652,NA,NA
A,10,312,A100_1_id0085.jpg,2126,461,323,1,0,562.6103556091581,241.10548252033,56.853028803393045,0,0.8917999999999999,87.51779244390544,0.34350672364234924,-65.03070974734844,-26.986312150661774,-29.392734890211234,Averted,Sitting,Down,0.567701518535614,0.9907716512680054,1,1
A,10,312,A100_1_id0089.jpg,2226,438,360,1,0,573.4000000000004,231.14999999999975,32.95701746214303,0,1.5776,101.15771102590304,0.46877631545066833,20.7410721837358,-30.76783359852521,0.2864788975654116,Averted,Sitting,Down,0.6107612252235413,0.9942891597747804,1,1
A,10,312,A100_1_id0095.jpg,2376,563,199,1,0,560.5924432839895,218.52170033937608,99.80257871339931,1,0.5582999999999999,95.6303155407952,0.4476170241832733,-19.652452372987238,-34.26287614882323,14.094761760218251,Averted,Sitting,Down,0.29725542664527893,0.992369830608368,NA,NA
A,10,312,A100_1_id0107.jpg,2676,396,218,1,0,422.31948887882953,209.48115164893065,101.43401517493086,1,0.519,83.6036624134326,0.48531684279441833,-40.33622877720995,-42.112397942115514,-2.521014298575622,Averted,Sitting,Down,0.48531684279441833,0.9970694184303284,NA,NA
A,10,312,A100_1_id0109.jpg,2726,402,364,1,0,571.946234323237,202.4890551944534,127.64914221456276,0,0.43060000000000004,114.06944233562804,0.6397830247879028,-57.52496263113465,-50.82135642810402,-24.86636830867773,Averted,Sitting,Down,0.42755529284477234,0.9922245740890504,1,1
A,10,312,A100_1_id0111.jpg,2776,496,362,1,0,561.4981154219807,314.15765185225854,229.1284232828908,1,0.2469,92.69218432230284,0.5109903812408447,5.958761069360561,2.9220847551671985,-5.500394833255903,Directed,Sitting,Down,0.27931854128837585,0.9942464828491212,NA,NA
